Arctos_guid,Sp,Fam,ID,Field_Number,Sex,Age,Year,Month,State,County,Locality,Latitude,Longitude,BIO1_Annual_Mean_Temperature_30s,BIO2_Mean_Diurnal_Range_30s,BIO3_Isothermality_30s,BIO4_Temperature_Seasonality_30s,BIO5_Max_Temperature_of_Warmest_Month_30s,BIO6_Min_Temperature_of_Coldest_Month_30s,BIO7_Temperature_Annual_Range_30s,BIO8_Mean_Temperature_of_Wettest_Quarter_30s,BIO9_Mean_Temperature_of_Driest_Quarter_30s,BIO10_Mean_Temperature_of_Warmest_Quarter_30s,BIO11_Mean_Temperature_of_Coldest_Quarter_30s,BIO12_Annual_Precipitation_30s,BIO13_Precipitation_of_Wettest_Month_30s,BIO14_Precipitation_of_Driest_Month_30s,BIO15_Precipitation_Seasonality_coefficient.of.variation_30s,BIO16_Precipitation_of_Wettest_Quarter_30s,BIO17_Precipitation_of_Driest_Quarter_30s,BIO18_Precipitation_of_Warmest_Quarter_30s,BIO19_Precipitation_of_Coldest_Quarter_30s,Elevation_30s,TPC1,TPC2,PPC1,PPC2,elev.z.1,TPC1.z.1,TPC2.z.1,PPC1.z.1,PPC2.z.1,lat.z.1,Tissue_Type_Tested_Bd,Tissue_Type_Tested_Pr,Tissue_Type_Tested_Rv,Status_Bd,Status_Pr,Status_Rv,Pathogens_Tested_For,Overall_Infection_Status,Confirmed_Average_Bd_SQ,Confirmed_Average_Pr_SQ,Confirmed_Average_Rv_SQ,Overall_Average_SQ,Confirmed_Log10_Average_Bd_SQ,Confirmed_Log10_Average_Pr_SQ,Confirmed_Log10_Average_Rv_SQ
https://arctos.database.museum/guid/MSB:Herp:103912,Rana catesbeiana,Ranidae,MSB:Herp:103912,MJM 472 (9/24/2020),unknown,adult,2009,7,FL,Levy,on CR343,29.36344,-82.63868,20.69583,13.375,49.35425,536.42102,33.1,6,27.1,26.83333,17.91667,26.83333,13.78333,1430,224,55,47.45314,606,200,606,281,16,3.463400224,0.685558388,1.985630759,-3.323093083,-0.782303456,1.206850867,0.556555738,0.843160659,-2.282249755,-1.127765504,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:103916,Hyla squirella,Hylidae,MSB:Herp:103916,MJM 476,male,adult,2009,7,FL,Levy,on SR24,29.3449,-82.74346,20.6375,12.94167,48.65288,535.06635,33,6.4,26.6,26.78333,17.88333,26.78333,13.76667,1464,234,54,49.0887,625,202,625,286,8,3.461413808,0.371499191,2.240572827,-3.611471444,-0.826006672,1.206158684,0.301593577,0.951417002,-2.480303624,-1.131093956,Liver_included_no_skin,Liver_included_no_skin,NA,0,1,NA,"Bd, Pr",single,NA,low,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:103925,Anaxyrus terrestris,Bufonidae,MSB:Herp:103925,MJM 484,unknown,unknown,2009,7,FL,Levy,on SR24,29.36719,-82.72346,20.6125,12.925,48.40824,534.91345,33,6.3,26.7,26.76667,17.88333,26.76667,13.75,1463,233,54,48.50994,622,203,622,289,10,3.435130184,0.359173288,2.233959505,-3.546131912,-0.815080868,1.196999935,0.291587059,0.948608779,-2.435429428,-1.127092273,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104135,Anaxyrus terrestris,Bufonidae,MSB:Herp:104135,MJM 690,unknown,unknown,2010,1,FL,Gulf,on CR 361,29.97876,-85.10328,19.94167,11.31667,42.38452,603.63983,32.3,5.6,26.7,26.85,16.66667,26.98333,12.28333,1606,215,85,33.69711,598,304,576,356,9,2.811253512,-0.831533687,3.574370118,-1.523525138,-0.82054377,0.979604874,-0.675062625,1.51778887,-1.046333878,-1.017298221,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104416,Anaxyrus fowleri,Bufonidae,MSB:Herp:104416,MJM 959,unknown,unknown,2010,6,FL,Leon,The Blairstone at Governor's Square,30.43817,-84.24607,19.775,13.03333,44.94253,627.92047,33.3,4.3,29,27.1,16.21667,27.1,11.75,1541,196,78,27.46456,526,274,526,358,49,2.760422732,0.49461502,2.701974754,-0.867471755,-0.602027691,0.961892462,0.401542498,1.147342629,-0.595766399,-0.934821178,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:102005,Hyla squirella,Hylidae,MSB:Herp:102005,LNB 597,unknown,unknown,2012,5,FL,Sumter,"Jct 471 and SD, on side of K building (Tarrytown)",28.55562,-82.0554,21.69583,12.79167,51.16666,482.38733,33.2,8.2,25,27.18333,19.46667,27.18333,15.48333,1276,188,55,48.30093,544,182,544,218,30,4.123577372,0.28325515,0.700099949,-2.816784851,-0.705822828,1.436895134,0.229954562,0.297284242,-1.934524966,-1.272791962,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:102401,Hyla squirella,Hylidae,MSB:Herp:102401,LNB 993,male,adult,2012,5,FL,Nassau,no locality given,30.35111,-82.00936,20.0375,12.20833,44.07341,580.62708,33.1,5.4,27.7,26.83333,16.83333,26.83333,12.61667,1338,192,59,39.6664,517,203,517,269,26,2.955513206,-0.122820178,1.122290558,-2.040048393,-0.727674436,1.029873374,-0.099708903,0.476559523,-1.401074189,-0.950450902,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:102406,Hyla squirella,Hylidae,MSB:Herp:102406,LNB 998,male,adult,2012,5,FL,Nassau,no locality description given,30.35111,-82.00936,20.0375,12.20833,44.07341,580.62708,33.1,5.4,27.7,26.83333,16.83333,26.83333,12.61667,1338,192,59,39.6664,517,203,517,269,26,2.955513206,-0.122820178,1.122290558,-2.040048393,-0.727674436,1.029873374,-0.099708903,0.476559523,-1.401074189,-0.950450902,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:102438,Hyla cinerea,Hylidae,MSB:Herp:102438,LNB 1030,male,adult,2012,6,NC,Columbus,no locality description given,34.30648,-78.49171,16.8875,12.79167,40.73779,714.32458,32.3,0.9,31.4,25.5,13,25.5,7.86667,1291,166,71,28.20157,447,231,447,283,13,1.329195661,0.275884071,0.912482538,-0.512512911,-0.798692162,0.46316938,0.223970511,0.387468503,-0.351986067,-0.240350508,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:102760,Hyla cinerea,Hylidae,MSB:Herp:102760,LNB 1353,male,adult,2012,8,GA,Bryan,no locality description given,31.90931,-81.29993,19.07083,11.39167,39.69222,640.64404,32.8,4.1,28.7,26.36667,15.5,26.7,10.9,1262,178,61,34.53313,468,210,465,258,13,2.290503918,-0.681819956,0.648973517,-1.308943506,-0.798692162,0.798145308,-0.553520773,0.275574367,-0.898962479,-0.670710085,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
